Month,k,a,b,T0,beta,c,Sigma,R2
1,11,342.1497,-3.19,12.7839,-30.7428,560,2.9,1
2,11,344.9851,-3.29,12.0296,-28.0059,500,2.9,1
3,11,325.823,-2.99,13.1044,-30.9798,560,3,1
4,10,325.259,-2.92,12.9908,-29.8772,540,3.7,0.999
5,10,311.8766,-2.76,13.3935,-30.9508,558,5.3,0.998
6,12.5,220.3158,-2.34,14.7742,-29.9192,540,4,0.996
7,13,210.8181,-2.01,14.8316,-31.1228,560,3.2,0.994
8,14,184.0869,-2.01,15.4483,-31.0299,560,4.3,0.992
9,11,298.2082,-2.87,13.3674,-29.9141,540,6.1,0.995
10,11,308.4115,-2.83,13.4294,-31.1362,560,4.1,0.999
11,11,320.2009,-3.07,13.0114,-29.9279,540,3.2,1
12,11,353.3562,-3.28,12.6101,-30.9299,555,3.2,1
